code,status,validity_days
ALPHA-ETAU-IDQO,unused,30
ALPHA-HKBZ-8L5J,unused,30
ALPHA-94CA-OS69,unused,30
ALPHA-5TW6-W2QC,unused,30
ALPHA-CR8G-QAFX,unused,30
ALPHA-AEIU-K18P,unused,30
ALPHA-14VW-30QA,unused,30
ALPHA-AKUI-AERU,unused,30
ALPHA-D75W-1M2M,unused,30
ALPHA-ZLCU-0D65,unused,30
ALPHA-VUM5-BROS,unused,30
ALPHA-QLKF-TTCW,unused,30
ALPHA-QCUZ-VWCK,unused,30
ALPHA-VT28-XOQA,unused,30
ALPHA-GSCE-YAHB,unused,30
ALPHA-UCQ9-1HS2,unused,30
ALPHA-7RCD-YC6X,unused,30
ALPHA-1E1Q-YCCT,unused,30
ALPHA-84ZM-N920,unused,30
ALPHA-SG5T-5EWO,unused,30
ALPHA-WEMT-1E2D,unused,30
ALPHA-Y1CS-HRZK,unused,30
ALPHA-NTYD-9QK7,unused,30
ALPHA-JPZK-UZSN,unused,30
ALPHA-H7EL-Z799,unused,30
ALPHA-2S34-QWFI,unused,30
ALPHA-R7UV-AYW0,unused,30
ALPHA-0GV9-QYQM,unused,30
ALPHA-14MB-5H2C,unused,30
ALPHA-GLR2-92EJ,unused,30
ALPHA-830F-ZO31,unused,30
ALPHA-GNV5-3V6X,unused,30
ALPHA-1Q0Y-ZPT4,unused,30
ALPHA-VXG9-LTG8,unused,30
ALPHA-X5T8-U4R3,unused,30
ALPHA-PCIE-8RFJ,unused,30
ALPHA-1KOY-U8NX,unused,30
ALPHA-594U-EY7J,unused,30
ALPHA-WLBH-ER7I,unused,30
ALPHA-W9JY-6GRW,unused,30
ALPHA-ERVK-I8BJ,unused,30
ALPHA-6RPF-18ML,unused,30
ALPHA-UIZM-DSJZ,unused,30
ALPHA-037C-B1VM,unused,30
ALPHA-86QE-05FR,unused,30
ALPHA-NK07-S7SL,unused,30
ALPHA-XK0U-N1SC,unused,30
ALPHA-IJ5J-31B4,unused,30
ALPHA-0E8D-R0K6,unused,30
ALPHA-1BK5-P3W0,unused,30
ALPHA-SOX8-6NNA,unused,30
ALPHA-D8HO-N2IC,unused,30
ALPHA-5E5M-CBAT,unused,30
ALPHA-RQMI-V93N,unused,30
ALPHA-ZZCJ-W0YN,unused,30
ALPHA-UU0L-FBYF,unused,30
ALPHA-U5MU-OV4U,unused,30
ALPHA-DD2Y-REUF,unused,30
ALPHA-XRFL-SVIU,unused,30
ALPHA-BHCB-9VSD,unused,30
ALPHA-VWLB-TUHG,unused,30
ALPHA-SEJX-QJ03,unused,30
ALPHA-NNX8-R273,unused,30
ALPHA-S8JL-JYO5,unused,30
